"Track.ID","dataset","delay_green_to_red","delay_green_to_blue","gfp_corr_start","gfp_corr_mean","gfp_corr_sd","gfp_corr_slope","nuc_bfp_start","nuc_bfp_mean","nuc_bfp_sd","nuc_bfp_slope","nuc_area_mean","nuc_area_slope","nuc_circ_mean","nuc_circ_sd","nuc_ratio_mean","nuc_ratio_slope","area_start","area_mean","area_sd","area_slope","solidity_mean","solidity_sd","shape_idx_mean","gfp_snr_sd","bf_ctrst_mean","bf_ctrst_sd","gfp_ratio_start","gfp_ratio_mean","gfp_ratio_sd","gfp_ratio_slope","gfp_ratio_max","gfp_corr_end","nuc_bfp_end","gfp_corr_slope_early","gfp_corr_slope_late","nuc_bfp_slope_early","nuc_bfp_slope_late","area_slope_early","area_slope_late","circ_start","circ_end","circ_slope","circ_sd","perim_start","perim_end","perim_slope","perim_sd","cell_aspect_start","cell_aspect_mean","bfp_nuc_frac_start","nuc_ratio_start","nuc_ratio_end","bf_ctrst_start","bf_ctrst_end","bf_ctrst_slope"
"A2_1000","A2",Inf,15.0004993333333,1.6731046932,2.25444382645625,0.982518340549827,0.122650439721765,1.006918239,1.30604623683333,0.347177266779069,0.0561404658909522,283.602299089167,12.7673209846187,0.815270346666667,0.055588585469313,4.21425186622312,-0.912804287128715,22.93725636,795.372611460812,849.756855982523,139.130261850081,0.7377949934375,0.281490487617099,6.7832832096875,0.277742058204425,0.781357203,0.466606672888252,1.60244978078106,1.89215739471863,0.470284088379462,0.0134370831148137,2.84293775280764,4.2399799093,1.890786625,-0.130026332292857,0.363071817688095,-0.0250287896857143,0.121297697916667,-4.63960376358333,77.8257861054764,0.207475564,0.79234708,0.0427380313088235,0.301063304411181,37.27281459,144.4725211,10.9666968598088,67.5188613423644,NA,NA,82.3688300272548,17.6260387803298,0.261524933999918,0.308051359,0.678178002,0.0208425793941177
"A2_1005","A2",Inf,0,1.09498381835,1.50614246729688,0.507812632940296,0.0673226913165441,1.328620558,1.7096119568125,0.172470662998236,0.0129760094426471,203.88844519375,-0.255628244264707,0.8133788814375,0.0261794910394971,1.16948426381068,-0.0180152657982529,25.45828814,965.54483960625,537.485098919915,-41.6328828222059,0.9255742991875,0.152512409469106,4.573512613,0.060445325204527,0.931893535,0.107192675237158,0.824150892259489,0.881452776146863,0.278669333640592,0.0317835408979952,1.8596256634964,3.2737160124,1.760416667,0.00568585065000005,0.201590420736309,0.0144241860595239,0.0146076657142859,187.290422655,-133.29684937,0.115277727,0.393942097,-0.00201306951323529,0.195855785872684,52.68012874,29.56444583,-2.5373693115,37.7298977230675,NA,NA,30.8462220428349,8.49025973825748,7.23680241239887,1.007546613,0.987567219,-0.0144432403205882
"A2_1007","A2",Inf,30.0009988333334,2.0316401682,2.57827839375,0.529603074369764,-0.0122734045454412,1.675324675,1.51461668788889,0.20540864072675,0.0118414344406159,148.869452232222,3.69577005041056,0.729215460666667,0.0521997749412117,0.153811709598016,-0.0011063169033081,707.7073475,1011.0112344625,167.749603605984,18.8261755432353,0.968167916625,0.00916823259327909,4.6646576603125,0.0781763834585896,0.9761337685625,0.0635020510849209,1.5859967304845,1.85535964472421,0.482347000631187,-0.0667085731673659,2.87607386490765,2.51650967865,1.597582038,0.211453830227976,0.00114070974702384,-0.0728847125714286,0.0639068227671233,1.56752676666671,-12.3611246928572,0.696279591,0.582212881,-0.0104519020661765,0.0971494130072188,113.0160051,155.0514071,2.51203533470588,20.2032205610229,NA,NA,0.110357574310103,0.0383309876686388,0.171867463228164,0.997504082,0.997118471,-0.00193355285735294
"A2_102","A2",3285.10938383333,135.004495166667,0.8770801815,1.25660838490313,0.33378466257333,0.0653714583216912,0.842615012,1.805085475,0.990985919627265,0.3871515255,206.027189375,7.26936857142859,0.89011907425,0.0623263103238787,0.142378631692932,0.00646980711189677,328.0234301,1093.63443486875,477.97178691296,86.6252167766176,0.9654756659375,0.03481081707558,4.1783420843125,0.174007336586433,0.93184303725,0.0926565497428664,1.54816131331873,0.996544570489667,0.346391334530705,-0.139726072667434,1.54816131331873,1.87839539355,3.487381703,0.0294718632357143,0.106359288830357,NA,0.3871515255,167.635821194048,-12.7099558690476,0.820765447,0.699080221,-0.00637156790294118,0.123664919312198,70.86761747,157.7779834,7.01568125676471,37.0176696945239,NA,NA,0.214114025036587,0.0990057372889277,0.151153421456479,0.997481735,0.998526278,0.00628125658529412
"A2_1027","A2",1620.05394266667,75.0024973333333,1.54584,2.8778338259125,0.638821871870605,0.0324950695636765,1.715525554,2.648799776,0.400262063871486,0.0458773278181817,140.04951463,5.20913044424242,0.7403483056,0.0522750709277351,0.240355485917683,0.0104020941468652,258.5917352,575.84911974375,137.284426950987,3.73863907955882,0.95662353125,0.0319467777867771,4.427535960625,0.150908002782027,0.5619407510625,0.0885891799714027,1.03970617099884,1.10760883668897,0.110667899971094,-0.00169950683516551,1.34815021641733,2.69644768485,2.749865519,0.0414755867988095,-0.0507548151880951,1.265319889,0.00347801965476186,18.9023262988095,-1.83862134047615,0.476881844,0.696148531,0.01899873265,0.112609294237505,82.54805752,105.590824,-0.943105152588235,14.870351326821,NA,NA,0.299956114982976,0.111271986268312,0.249046503896277,0.627491873,0.699519005,0.00287705213088234
"A2_1032","A2",2970.0988945,0,1.4719387758,1.788514422525,0.46949111452148,0.0400777449444118,0.979466119,2.239277679875,1.49556280490611,0.286588493814706,170.12831675625,-1.68692763044118,0.8468368655,0.0293162614930526,1.60244625903224,-0.453469253398097,8.224349577,543.966850017312,292.417177504525,36.1817289850662,0.89864661225,0.196988042128013,4.9126151768125,0.118136902123794,0.738237447,0.382420720494128,1.50279703120594,1.1213627780016,0.643446592891565,-0.110398064640249,2.29531183535467,2.6297784666,5.033832501,-0.0341894288095237,0.210188849445238,0.00168598382142857,0.45844321525,44.5446241721548,20.3207756761904,0.061468409,0.52628099,0.0166101055014706,0.217733892748382,41.00433075,149.2336874,3.69584884695588,31.5641093543021,NA,NA,125.025159054461,19.5376884452197,0.159562211985396,1.994923858,0.453658602,-0.0338570215088235
"A2_1055","A2",2175.07242266667,0,1.5541859914,2.44409717160937,0.909277548031896,0.167278044478603,1.751393056,3.0661982415,0.927362612700618,0.160315317144118,179.69067294375,-0.18403288485294,0.7864562434375,0.0299165379588861,0.280413673230957,0.00964324078604913,695.4328157,668.11991609375,131.015931512238,-21.7510100136765,0.964062294125,0.0132597451586522,4.9999216266875,0.0415780753346646,0.73050983175,0.214075053853755,0.887399882097055,0.790848814430201,0.100350774152374,0.0108100229763259,0.921803113663686,3.71371359195,4.505899009,0.0929799112821429,0.352666003320833,0.154493300619048,0.40113830902381,-11.5168446380952,-25.7544749297618,0.455796525,0.516203449,0.00487920533088236,0.0391884163338404,138.467234,111.4955858,-2.80351821995588,16.2659767978101,NA,NA,0.657300991687997,0.277470731526769,0.343153123988409,0.986309089,0.446742909,-0.0358253368617647
"A2_107","A2",Inf,30.0009988333333,1.095689507,2.8068707460625,1.12335601315367,0.165432270114118,1.003731343,1.29542917738462,0.2146643182125,0.0361153943516484,154.663551194615,5.27027801994505,0.837105922384615,0.0575609940315262,0.423372029895788,0.0332740595622176,481.103786,456.6993718625,173.605395544878,-22.3924509358824,0.9430979388125,0.0608063208068653,4.23242859925,0.233781335219519,0.99710137775,0.000966797811992447,2.49231298638445,2.44661816918691,0.556307154893053,0.0102664529642198,3.4677555887962,3.58730805015,1.576188361,0.2020903297,0.123190641985714,0.0393050876,0.0250852612500001,2.18646863095238,-1.53505447380953,0.854598934,0.694379155,0.0111604049602941,0.138002706828106,84.10913097,80.2523266,-3.02173837105882,25.7793773271081,NA,NA,0.625286213465781,0.280828082721537,0.52316804081389,0.997241226,0.997672588,-7.27810882354439e-06
"A2_1073","A2",2640.087906,0,1.6173724736,4.9426856444125,2.48264112936285,0.440838667814559,1.831192661,2.51953183053333,1.09124681486504,0.197459516230719,126.0874069208,2.84496183879203,0.6845543464,0.143050790169927,0.188428680819791,3.50911981482808e-06,515.3650212,640.41956279375,147.592742797954,22.5412331392647,0.9511336266875,0.0258476239213378,4.8560077615,0.165316352668516,0.64624402975,0.161000359931057,0.883234466829266,2.00267459919335,0.42269258825997,0.0243377553857656,2.88830414676551,7.4535651231,3.892805755,0.342476264666667,0.686801900879762,0.037425082688406,0.353325362571429,47.8592594380953,-6.6312385488095,0.708616357,0.603801884,-0.0016899753838235,0.0919368530331228,95.59976286,112.5674422,2.37136202998529,21.2346060587437,NA,NA,1.27249819310178,0.261507618204648,0.188433342428789,0.81756948,0.564132537,-0.02628450695
"A2_1077","A2",3585.11937383333,135.004495166667,1.1849855348,1.48695940870313,0.270344021681367,0.0490680299883088,1.306358382,1.2588137475,0.239758822271327,0.0802168527142858,192.920923766667,2.92604999999999,0.824774676,0.0198179348783452,0.173551620807487,-0.00928752679029631,857.1508051,1001.91640565625,217.959006990083,30.9675448410294,0.9635534076875,0.020425371696279,4.2672574491875,0.0617744543985192,0.996012892375,0.00676528995638909,1.40688536910999,1.42571404315754,0.118614656620103,-0.0444231890265561,1.59545282703577,2.11182637765,1.668126095,0.00925198688273812,0.068780298322619,NA,0.0802168527142858,57.8449856297619,43.1611070928571,0.796727115,0.663812747,-0.00296463027794118,0.100788658351822,116.2729662,151.3869037,2.32463349535294,22.27125580576,NA,NA,0.416814729698825,0.16963803351332,0.155873416924551,0.972592658,0.998130967,0.000747176305882333
