"metric","original","extended","extended2"
"CV R² (all cells)",0.0724048494309866,0.0777071615666816,-217.592448578311
"CV r (all cells)",0.269550973027951,0.28071937540641,0.00562022958563423
"CV R² (productive only)",-0.94541955951571,-0.92916409392377,-818.190650025991
"CV r (productive only)",0.227240454055792,0.238290566346872,-0.0420602902306561
"In-sample R²",0.112459924776135,0.101351070488962,0.0818451445012847
"Non-zero coefs",15,9,5
"Features used",29,45,53
