method,AUC,sensitivity,specificity,bal_acc,spearman_rho,perm_p,n,n_early,gmm_cutoff_min
ElasticNet,0.6515,0.4561,0.7032,0.5797,-0.2664,0.0,525,114,1094.0
XGBoost,0.6678,0.5175,0.7518,0.6347,-0.2739,0.0,525,114,1094.0
