gfp_track_id,onset_frame,gfp_x,gfp_y,gfp_r,bf_track_id,bf_x,bf_y,bf_r,dist_um_onset,dist_norm_onset,match_tier,is_ambiguous,dist_norm_check1,dist_norm_check2,dist_norm_check3,temporally_consistent,bf_earliest_frame
6,11,2490.183413,143.4569685,13.14711503,2437.0,2496.2151718867303,144.79456116655533,15.744335308579071,6.1782901687498075,0.3924135282728172,confident,False,,,,False,0.0
9,0,2262.331269,1456.187319,18.80249417,2784.0,2265.5750500134054,1456.8189313425255,23.583126866390703,3.3047011081429902,0.14012989570321388,confident,False,,0.2427489280791031,2.0735207533862403,False,0.0
14,14,2484.623827,2264.615949,13.16711217,415.0,2491.274940730854,2263.488202903524,20.344933424574897,6.746045146518864,0.33158354494147585,confident,False,5.388342628938806,,,False,0.0
15,14,2258.693614,2344.172353,7.965406375,2116.0,2251.204169143112,2341.8559982661964,15.806045333935542,7.8394695941230665,0.49597919204317,confident,False,0.3849760533235862,0.057563767402244004,,True,0.0
31,13,1634.981956,2444.027904,8.098888938,2273.0,1641.7054523074105,2431.275596429913,27.59083158301684,14.416197520770108,0.5224995657486381,plausible,False,,,,False,0.0
38,15,2131.114659,2188.935133,12.0228833,3718.0,2133.1881890857107,2190.191624184182,23.384542140824063,2.424519975639509,0.10368045527848294,confident,False,0.23271719597917376,3.712603194675068,2.4453240124115823,False,5.0
43,15,2094.213229,299.23794,9.871211988,1180.0,2092.7397819270464,306.2680013448913,29.61341384962821,7.182813431360328,0.24255269817365238,confident,False,0.3064563667308939,,,False,0.0
46,17,2516.393028,1260.525507,13.12909155,3188.0,2539.3350505860644,1264.093802206197,19.96802492865997,23.217862326623887,1.1627520703512069,marginal,False,,,,False,2.0
49,17,2273.98523,144.3906349,12.78027381,1299.0,2278.1731890116785,146.56946811419752,22.48017693390151,4.720838363976357,0.21000005372987246,confident,False,4.255045669717912,6.213891171793092,3.989533654665941,False,0.0
50,16,2517.864893,2302.946419,9.349681118,1203.0,2511.0848699565468,2298.7925421628465,26.264695244386782,7.951314686766917,0.302737747869595,confident,True,,,,False,0.0
53,17,2431.923183,2486.858335,14.26482303,5535.0,2414.912979295565,2477.136581602548,3.258262527262492,19.59233317364813,6.01312294810974,unmatched,False,,,,False,17.0
54,16,2595.373108,2665.7355,11.31663436,4699.0,2567.2680348068834,2651.903611362739,18.832205980382074,31.324372020265837,1.6633405588754249,unmatched,False,,,,False,12.0
55,17,2415.398764,307.4428335,20.51172172,3219.0,2466.299561683716,322.0009931352428,13.842657040492291,52.94177194620339,3.8245382942984913,unmatched,False,,,,False,1.0
56,16,2460.029843,59.09436256,12.23546383,4098.0,2459.316549115389,51.61555676875455,19.54183508961736,7.512744121091142,0.38444414696154544,confident,False,,,,False,7.0
57,17,2510.938498,177.2322954,12.63117931,2817.0,2515.4612052240304,178.7605298682672,21.77387233515673,4.773927232823857,0.21925026285360064,confident,False,1.7000831727456458,,,False,0.0
60,18,2329.643073,1777.515234,8.679863548,147.0,2338.573425770644,1782.035628622343,19.47710228800818,10.009254125550688,0.5138985244079797,plausible,False,,,,False,0.0
65,18,2141.190722,498.690616,14.68470678,5269.0,2139.9873654050534,477.21167184826936,13.948689063672006,21.512626733334166,1.5422687132199178,unmatched,False,,,,False,16.0
67,18,2241.402837,500.997196,17.25216489,2409.0,2244.083351994063,505.35454657215047,27.762658777458523,5.115824922924543,0.18426999243596442,confident,False,3.227391109453348,,,False,0.0
68,18,2323.728281,508.7428829,11.50055361,,2339.8420621723512,517.9304885809926,1.1864274743264362,18.549017273694677,15.634345693339077,unmatched,False,,,,False,
69,18,1582.478033,509.5700474,11.39425359,2556.0,1586.208174857316,508.3211405620722,30.77495724107571,3.933665792301467,0.12782034956172597,confident,False,,,,False,0.0
81,19,1423.075798,2396.780776,11.91682686,1496.0,1422.1954828381593,2408.210910382166,29.08042521778885,11.46398389647049,0.3942165154262542,confident,False,0.48538030634696966,4.103950467971529,,False,0.0
82,19,2184.417658,2452.238852,8.005766998,4218.0,2183.2374204516395,2454.308540719124,25.465930631822992,2.3825557841587086,0.09355855941826038,confident,False,2.6613307442600376,,12.236651146044165,False,10.0
85,19,1255.483312,217.3455986,7.077791684,2840.0,1245.7744879326274,230.86416179131115,20.33296762287839,16.643701977885453,0.8185574426016484,plausible,False,,,,False,0.0
88,19,2257.744321,450.4729514,16.46321074,5656.0,2293.161774732631,442.1954536292833,3.030239936803449,36.37187097534659,12.002967333905145,unmatched,False,,,,False,19.0
90,16,926.4408563,631.8837351,9.202187137,285.0,932.3006903194693,623.6033189233341,18.11475043807646,10.144108969964773,0.5599916490509455,plausible,False,,,,False,0.0
92,19,938.8544288,887.1685799,8.938953953,2364.0,932.490738629618,878.2280053202264,16.244815030702235,10.974079751902261,0.6755435338082684,plausible,False,,,,False,0.0
96,20,2590.015739,2550.32387,6.757353099,5366.0,2590.765648558995,2557.350093092181,12.459732300054547,7.066128734163182,0.5671172192144327,plausible,False,,,,False,18.0
97,20,1943.688902,136.5872686,8.781570927,2866.0,1946.8350686286956,138.5307270493714,14.391526008243863,3.6980258517146964,0.2569585636433805,confident,False,4.549413898079869,8.960530867353215,,False,0.0
99,20,1836.20503,345.9939726,19.86829481,3635.0,1836.9934757307371,339.25623744360735,34.6114889974911,6.783710025348012,0.1959959025698012,confident,False,0.22872470433819495,,,False,3.0
102,20,2102.989307,504.2424328,10.21827288,5269.0,2142.0985795210595,489.7168660814016,9.450443949824846,41.719627103114995,4.414567963644525,unmatched,False,,,,False,16.0
107,20,528.1890604,1683.765388,12.37497844,2197.0,539.5170277520691,1670.6893361513487,27.48980398275643,17.300461735981536,0.6293410366561224,plausible,False,,,,False,0.0
