orig_dim,beta,abs_beta
163,4.914988164053269,4.914988164053269
223,-4.328269730989366,4.328269730989366
241,-4.000106587206023,4.000106587206023
212,2.489392931582755,2.489392931582755
204,2.4005363776960107,2.4005363776960107
205,-2.341746685898464,2.341746685898464
237,2.261637141370744,2.261637141370744
77,1.9644756678909436,1.9644756678909436
127,-1.1333938252266995,1.1333938252266995
198,-0.8832735650190694,0.8832735650190694
247,-0.5428443946649772,0.5428443946649772
78,-0.5120293234247353,0.5120293234247353
148,0.5039718677214037,0.5039718677214037
200,0.44466275818047474,0.44466275818047474
190,-0.18945639572215392,0.18945639572215392
249,-0.1366047691777938,0.1366047691777938
66,0.0,0.0
60,0.0,0.0
11,0.0,0.0
44,0.0,0.0
