orig_dim,beta,abs_beta
44,-4.1628456870221955,4.1628456870221955
163,3.4134393161277212,3.4134393161277212
77,2.4601770720597393,2.4601770720597393
205,-2.3375845930765893,2.3375845930765893
247,-2.1640944063522394,2.1640944063522394
204,2.0618943648507355,2.0618943648507355
200,2.0258525947883514,2.0258525947883514
212,1.8947827037512424,1.8947827037512424
223,-1.8921007915081438,1.8921007915081438
190,-1.8038063974805651,1.8038063974805651
249,-1.505707739646818,1.505707739646818
198,-1.3427206878326612,1.3427206878326612
237,1.15325420429239,1.15325420429239
60,-1.008270347305449,1.008270347305449
11,-0.8744871166160391,0.8744871166160391
241,-0.7592282365569651,0.7592282365569651
127,-0.6804461466734109,0.6804461466734109
66,-0.5563644559976031,0.5563644559976031
78,-0.4511677048496317,0.4511677048496317
148,0.4434401082446616,0.4434401082446616
