dim,beta,abs_beta
148,0.307949686265742,0.307949686265742
237,0.25691416052565397,0.25691416052565397
212,0.14739940995731404,0.14739940995731404
66,0.1436072967783214,0.1436072967783214
202,-0.11687696057873014,0.11687696057873014
127,-0.11565744239130515,0.11565744239130515
247,-0.10555134256597942,0.10555134256597942
198,-0.0998330613563251,0.0998330613563251
204,0.09911384353376002,0.09911384353376002
239,-0.09349160739445807,0.09349160739445807
64,-0.08930424005168779,0.08930424005168779
85,-0.0869989362345969,0.0869989362345969
60,-0.08354839496211518,0.08354839496211518
200,0.08332221809354286,0.08332221809354286
55,-0.08229799130205237,0.08229799130205237
78,-0.08158103362664462,0.08158103362664462
13,-0.0805602760163171,0.0805602760163171
223,-0.07853988015476733,0.07853988015476733
241,-0.07819163399322264,0.07819163399322264
77,0.07407522701690597,0.07407522701690597
5,-0.07170999312237866,0.07170999312237866
225,-0.07137959942646976,0.07137959942646976
44,0.07107251856620891,0.07107251856620891
205,-0.07078050341418603,0.07078050341418603
11,-0.07064093532946888,0.07064093532946888
249,-0.06949332330078532,0.06949332330078532
18,0.06865419869863693,0.06865419869863693
40,-0.06727778322027508,0.06727778322027508
42,0.0658817418867014,0.0658817418867014
189,-0.06324394343918553,0.06324394343918553
163,0.061694155061486164,0.061694155061486164
4,-0.05991424893824511,0.05991424893824511
168,0.058849746847498836,0.058849746847498836
159,-0.0588182433427193,0.0588182433427193
169,0.058193936090859814,0.058193936090859814
32,-0.05805867895158732,0.05805867895158732
46,-0.05789837638491,0.05789837638491
68,0.05577333327216727,0.05577333327216727
111,-0.05515618353284994,0.05515618353284994
14,-0.05286245974764886,0.05286245974764886
94,0.0520495597894743,0.0520495597894743
83,-0.05134732195559316,0.05134732195559316
63,0.050980942400601525,0.050980942400601525
251,0.05009112962591446,0.05009112962591446
213,0.049491429492013635,0.049491429492013635
80,-0.04927846331773424,0.04927846331773424
190,-0.04926590674875162,0.04926590674875162
254,0.04881965800604646,0.04881965800604646
6,-0.04866920687404975,0.04866920687404975
195,0.04807466877163227,0.04807466877163227
37,0.04767187053234966,0.04767187053234966
179,0.04737310887561191,0.04737310887561191
33,0.047089980910461564,0.047089980910461564
217,-0.046492038413765285,0.046492038413765285
194,0.045851513321195886,0.045851513321195886
170,-0.04539115412703486,0.04539115412703486
209,-0.04537719342824909,0.04537719342824909
36,-0.04510277193457605,0.04510277193457605
134,0.044491204416879815,0.044491204416879815
118,0.04414205153488823,0.04414205153488823
161,0.044021838488598884,0.044021838488598884
246,0.043681930948914115,0.043681930948914115
79,0.043222898070373765,0.043222898070373765
47,-0.04286560487396823,0.04286560487396823
218,-0.04267200982065211,0.04267200982065211
34,-0.041428753038165414,0.041428753038165414
7,0.04136566808569812,0.04136566808569812
174,0.04125951811598197,0.04125951811598197
120,0.041156890880376336,0.041156890880376336
1,0.04101914006442887,0.04101914006442887
103,0.04047765114318295,0.04047765114318295
196,0.04028235751566731,0.04028235751566731
35,0.04022104105187956,0.04022104105187956
240,0.04004178349149416,0.04004178349149416
114,-0.04003922315349021,0.04003922315349021
135,0.038535095398380216,0.038535095398380216
31,0.037900341259205404,0.037900341259205404
76,-0.03769539869986631,0.03769539869986631
108,-0.03753799407729832,0.03753799407729832
53,0.037137758796049504,0.037137758796049504
106,0.036838871289528466,0.036838871289528466
26,-0.03681590990558631,0.03681590990558631
233,0.03634762515782631,0.03634762515782631
52,0.035630663183931474,0.035630663183931474
8,-0.035515723447304574,0.035515723447304574
81,0.03532381282448167,0.03532381282448167
224,0.03454541213458336,0.03454541213458336
19,0.03419682972918982,0.03419682972918982
166,0.034103563605624,0.034103563605624
206,0.03386542420309317,0.03386542420309317
95,-0.033756015579221636,0.033756015579221636
242,-0.033115794293386736,0.033115794293386736
100,0.03254212816194391,0.03254212816194391
22,-0.031462453885814416,0.031462453885814416
90,-0.03130681129531916,0.03130681129531916
143,0.030953288165621963,0.030953288165621963
228,0.030559855502726947,0.030559855502726947
211,-0.03052785238233883,0.03052785238233883
255,-0.03051162920057102,0.03051162920057102
150,0.030367007437065607,0.030367007437065607
236,0.028997515954838803,0.028997515954838803
116,-0.028890877310535534,0.028890877310535534
82,-0.028704048527125048,0.028704048527125048
124,0.028435083626102475,0.028435083626102475
131,-0.02838190979319853,0.02838190979319853
188,-0.028305587548326152,0.028305587548326152
9,-0.02808670951185203,0.02808670951185203
175,-0.028044474235399634,0.028044474235399634
221,0.027984906595048993,0.027984906595048993
210,-0.027814690895189856,0.027814690895189856
165,-0.027173157107849333,0.027173157107849333
101,-0.026742182964603064,0.026742182964603064
0,-0.026391421943712155,0.026391421943712155
3,-0.026189845235792285,0.026189845235792285
2,0.02615587966605837,0.02615587966605837
88,-0.026112954533017946,0.026112954533017946
199,-0.025529397733139645,0.025529397733139645
219,0.02538453702462205,0.02538453702462205
17,-0.025108780732060673,0.025108780732060673
59,0.025074748499555,0.025074748499555
192,-0.02480585708648839,0.02480585708648839
98,-0.024450691147405203,0.024450691147405203
125,-0.024305487781955987,0.024305487781955987
132,0.024264020943515527,0.024264020943515527
24,0.024234955075279098,0.024234955075279098
164,0.023882808658489196,0.023882808658489196
115,-0.023841989818427507,0.023841989818427507
65,-0.023825320306064292,0.023825320306064292
172,0.023509975435282576,0.023509975435282576
72,0.023461477278443436,0.023461477278443436
30,0.023196722894400276,0.023196722894400276
137,0.022928356426850278,0.022928356426850278
99,0.02282942044992295,0.02282942044992295
29,-0.022565577468486437,0.022565577468486437
15,-0.022264120623314083,0.022264120623314083
102,0.02215677861352626,0.02215677861352626
187,-0.02200420861142461,0.02200420861142461
23,-0.021723817042784022,0.021723817042784022
142,0.021409451722816247,0.021409451722816247
67,-0.021318310326806096,0.021318310326806096
25,-0.02120120777583269,0.02120120777583269
122,0.021171236176824457,0.021171236176824457
154,0.020868309771793405,0.020868309771793405
216,-0.020752925727184745,0.020752925727184745
130,0.0203510693099702,0.0203510693099702
69,0.020270836222812606,0.020270836222812606
158,-0.020198396324558523,0.020198396324558523
176,-0.01987723940584194,0.01987723940584194
56,-0.019648697333590738,0.019648697333590738
28,-0.019647659212968592,0.019647659212968592
113,-0.019288277954112247,0.019288277954112247
180,0.018414387526642168,0.018414387526642168
231,-0.018215439524534822,0.018215439524534822
208,0.01799511693421652,0.01799511693421652
49,0.017961902781121704,0.017961902781121704
112,0.017462016518360417,0.017462016518360417
156,-0.01734049648495127,0.01734049648495127
182,-0.016917720120582437,0.016917720120582437
20,-0.01685914486712173,0.01685914486712173
51,-0.016776074850744612,0.016776074850744612
39,0.016397837571465287,0.016397837571465287
105,-0.016382116089542945,0.016382116089542945
184,-0.01618496448376935,0.01618496448376935
58,0.0161663801010374,0.0161663801010374
183,0.016079379739633408,0.016079379739633408
160,0.016054842662133802,0.016054842662133802
89,0.016012268160566775,0.016012268160566775
244,-0.015890473522806214,0.015890473522806214
97,-0.015611095848543798,0.015611095848543798
119,0.015482082479379149,0.015482082479379149
61,-0.015377399768084632,0.015377399768084632
178,0.014553941878072189,0.014553941878072189
151,-0.014033970441881184,0.014033970441881184
27,0.013917363731790469,0.013917363731790469
235,-0.01391389083566225,0.01391389083566225
197,-0.013862892801955412,0.013862892801955412
149,0.013823508368252711,0.013823508368252711
229,0.013782662927758343,0.013782662927758343
38,0.013343159142426165,0.013343159142426165
252,-0.01323499258917988,0.01323499258917988
12,0.013102686115148867,0.013102686115148867
43,-0.013085594645687218,0.013085594645687218
173,-0.01307182280779344,0.01307182280779344
110,0.012942096179128023,0.012942096179128023
230,0.012688379317574031,0.012688379317574031
70,0.012505067007687906,0.012505067007687906
92,0.012375875878600302,0.012375875878600302
222,0.012274188713302839,0.012274188713302839
145,0.012106504846276775,0.012106504846276775
136,0.011927724604625687,0.011927724604625687
220,0.011683668505746342,0.011683668505746342
215,-0.011258220644262927,0.011258220644262927
10,-0.01111665587388553,0.01111665587388553
86,-0.010574310767670502,0.010574310767670502
123,0.010235818382361197,0.010235818382361197
201,0.010097162734944324,0.010097162734944324
45,-0.009980539174773293,0.009980539174773293
214,0.009909110048136858,0.009909110048136858
157,-0.009881892400058934,0.009881892400058934
107,0.009355178115139662,0.009355178115139662
93,0.009351624120946585,0.009351624120946585
104,0.009159794880205902,0.009159794880205902
177,-0.008984938416913385,0.008984938416913385
232,0.008959913719502917,0.008959913719502917
147,-0.008694146448257415,0.008694146448257415
162,0.008613057735918925,0.008613057735918925
253,0.008499261972808266,0.008499261972808266
185,0.008443185429110963,0.008443185429110963
50,0.008114022851939108,0.008114022851939108
193,-0.008113316679535501,0.008113316679535501
84,0.007645863073061222,0.007645863073061222
75,-0.007563870547381097,0.007563870547381097
152,-0.007300271741907136,0.007300271741907136
238,0.0070992488053028486,0.0070992488053028486
96,0.006974323732591958,0.006974323732591958
71,0.006915797108126935,0.006915797108126935
227,0.0064768654480582295,0.0064768654480582295
62,-0.006376634742242464,0.006376634742242464
73,-0.006204562327522268,0.006204562327522268
226,-0.005826279372498413,0.005826279372498413
140,0.00580506232836083,0.00580506232836083
191,0.005757740267378363,0.005757740267378363
128,-0.0054025680811864395,0.0054025680811864395
203,0.005275596982977023,0.005275596982977023
181,-0.005029962108656273,0.005029962108656273
138,0.00484353584912566,0.00484353584912566
126,0.004824998698820006,0.004824998698820006
54,-0.004751451796714187,0.004751451796714187
133,-0.004215362667307188,0.004215362667307188
16,0.0040323800798681055,0.0040323800798681055
139,-0.003794257668663788,0.003794257668663788
245,-0.003537597186738054,0.003537597186738054
155,0.0035204032017902916,0.0035204032017902916
91,-0.0034498169763747433,0.0034498169763747433
117,0.0031933956971498694,0.0031933956971498694
248,0.0031738037116554687,0.0031738037116554687
186,-0.003046819655597683,0.003046819655597683
129,0.003020339143989017,0.003020339143989017
153,0.002835130367531992,0.002835130367531992
48,0.0027940785400550087,0.0027940785400550087
57,-0.0025838801992144576,0.0025838801992144576
234,0.0025279344242027887,0.0025279344242027887
243,-0.0020287815914717105,0.0020287815914717105
167,-0.0018706265982246137,0.0018706265982246137
121,-0.001832137072487919,0.001832137072487919
250,0.0016613388161930208,0.0016613388161930208
144,-0.0013416330039309988,0.0013416330039309988
41,0.001220569383432159,0.001220569383432159
207,0.001183467529946657,0.001183467529946657
141,-0.001027856312137228,0.001027856312137228
146,-0.000988392008545857,0.000988392008545857
21,-0.000957648701269522,0.000957648701269522
87,-0.0005071602110001565,0.0005071602110001565
74,-0.0004140301503515632,0.0004140301503515632
171,0.00031935407013566425,0.00031935407013566425
109,8.803288555739212e-05,8.803288555739212e-05
