max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,n_estimators
4,0.13555049280481077,0.7909451022606108,0.594261674939877,2,0.0010248772316972675,0.21053154111184438,0.33858937548280704,72
7,0.2506659627393958,0.7861831387136367,0.6818104118562643,8,0.0013457756430657207,0.7269496909300585,0.460950517770605,8
4,0.2857261976999268,0.616404869933484,0.40901118576197376,6,0.011155164991882235,0.001250686678175625,0.5824330359016382,56
5,0.04910415535011367,0.8826597127302996,0.9342840620409729,3,0.12066145878486939,0.004217279358637229,0.42591526899484566,33
5,0.12191942530015566,0.5178013666887503,0.8264226269797208,6,0.002577798031491587,0.220843765497112,0.28820779092629867,16
