dataset,model_type,features,n,n_fast,auc,ap,sens,spec,bal_acc,mcc
A2,TopKNet,GFP (top-20),274,54,0.618,0.275,0.556,0.573,0.564,0.103
A2,TopKNet,BF (top-20),274,54,0.54,0.238,0.333,0.727,0.53,0.053
A2,TopKNet,GFP+BF (top-40),274,54,0.629,0.28,0.481,0.627,0.554,0.089
A3,TopKNet,GFP (top-20),223,51,0.553,0.346,0.549,0.494,0.522,0.036
A3,TopKNet,BF (top-20),223,51,0.548,0.256,0.706,0.343,0.524,0.044
A3,TopKNet,GFP+BF (top-40),223,51,0.572,0.354,0.588,0.43,0.509,0.016
A2+A3,TopKNet,GFP (top-20),497,105,0.626,0.315,0.295,0.804,0.549,0.098
A2+A3,TopKNet,BF (top-20),497,105,0.582,0.298,0.571,0.533,0.552,0.085
A2+A3,TopKNet,GFP+BF (top-40),497,105,0.676,0.347,0.581,0.679,0.63,0.219
