track_id,y_true,oof_gfp,oof_bf,oof_concat
15,1,0.24806685704235515,0.4106824451070247,0.19965934146280623
31,0,0.3553485643313494,0.3130523979574969,0.17391978919317305
38,0,0.23756126582199424,0.28943518870513235,0.1764649413077133
43,1,0.38600773903565294,0.6875857749929137,0.5275200756855969
46,0,0.4136920327517757,0.5410895145796211,0.6154821915882505
54,0,0.21952077852164714,0.1480900341903758,0.02774244786636155
57,0,0.2513765223051519,0.5185887788283595,0.20487330844356438
92,0,0.27251051446912333,0.31972924717157025,0.17099341463422127
97,1,0.42060123507707675,0.4333409713538231,0.3262256940520622
102,0,0.3944672992940143,0.3454697409326087,0.21115830974524433
108,0,0.27386255973861023,0.11608846347797028,0.020544710841026593
117,0,0.2953255472543924,0.025482887302043202,0.042196408830498806
122,0,0.5028011729610431,0.45312979009404425,0.6579837528269132
134,1,0.3843728972915969,0.28870038353356087,0.3430601630875632
146,0,0.3220402857127108,0.32582075998370247,0.29387141764708197
172,0,0.38302475594097307,0.18799314806645162,0.09541892019805412
181,0,0.355950454955918,0.12493356080502661,0.1941094971740053
192,0,0.2608255119463643,0.5807550361237704,0.44267472057994806
197,0,0.44204381542512006,0.5726920714244712,0.47628890406201013
201,0,0.5368753669923272,0.5349283907095231,0.45589709482172797
204,0,0.5316195725234752,0.12960174757457554,0.13866938959972386
207,0,0.3018376664320324,0.11437771647652384,0.17323842164742018
224,0,0.3551945542101515,0.3532124735642891,0.23782503306894062
226,0,0.28638417796383026,0.18132110911933685,0.16367143356234848
232,0,0.4090776551952088,0.7123773588597663,0.1904778195870641
242,0,0.06914076951800985,0.5037128280418899,0.20477264832899622
260,0,0.2597810246823987,0.07393318584397741,0.015533281788079844
261,0,0.8121625299069904,0.034889437831934635,0.443181557624129
272,1,0.10221035886107013,0.8092941556760604,0.506443478038912
283,0,0.34438387085504024,0.8715873190609832,0.8227285842330915
285,0,0.387472836658653,0.2602001630556936,0.3895331913408944
286,1,0.4057867817078905,0.41491982466987964,0.371807943837054
287,0,0.36688406702413956,0.9967040778019617,0.9753790825455859
289,0,0.3719706200295173,0.07969183650813509,0.18385141806329552
308,0,0.35713818782053974,0.35911727502644514,0.17871744264729844
312,0,0.516844218508012,0.0440660902540803,0.1515222175977908
331,0,0.3856723554526723,0.17912792121781956,0.12323303612864112
334,0,0.36921292927490346,0.08649017402852792,0.14529758743703847
362,0,0.8016395805816909,0.4465295741933977,0.6101312114483568
368,0,0.6123379381707328,0.814447407650994,0.928196100556127
370,0,0.2529455361605073,0.1380865081673203,0.0816188588147397
380,0,0.3739168464727364,0.03810612329608897,0.06177997450370043
384,0,0.2823454996794202,0.32836643671701765,0.1726077003442582
395,0,0.39311055327121236,0.26157350014543473,0.24972340073153615
396,0,0.3035404242392029,0.5624151580069492,0.4071660821692866
404,0,0.39607638793560107,0.18430146680761125,0.20252997965099032
416,1,0.5790267983594296,0.40722257188774214,0.6704278715393016
422,1,0.4078987804038566,0.2599854591525879,0.3559929088923201
428,0,0.3996965871332758,0.1867199557881513,0.1041830332579624
430,0,0.3434741982566119,0.7575562414043072,0.30633021697472296
437,0,0.2263496594136175,0.37552216494404805,0.26220666038441537
441,0,0.29032348420267634,0.15721125669016828,0.15870328371955608
453,0,0.5390378715344967,0.03277199258693037,0.0488025782018071
460,0,0.33314667387099894,0.28062634349612475,0.18051249657317428
461,0,0.6086068477267143,0.08080263870506421,0.17577360407352804
478,0,0.1639886699387518,0.46985686964263257,0.1988220421990487
498,0,0.5548748067650635,0.6005398126875334,0.7994382761703572
