track_id,y_true,oof_net
15,1,0.04806268587708473
31,0,0.36132222414016724
38,0,0.26303035020828247
43,1,0.5509859323501587
46,0,0.3174315094947815
54,0,0.41491562128067017
57,0,0.5248967409133911
92,0,0.27639779448509216
97,1,0.4615555703639984
102,0,0.5294864773750305
108,0,0.09619377553462982
117,0,0.28272172808647156
122,0,0.44582900404930115
134,1,0.30994272232055664
146,0,0.41900235414505005
172,0,0.24863332509994507
181,0,0.45920276641845703
192,0,0.2001882791519165
197,0,0.42773470282554626
201,0,0.43452510237693787
204,0,0.14460961520671844
207,0,0.2834031581878662
224,0,0.3057660758495331
226,0,0.21933230757713318
232,0,0.5875754356384277
242,0,0.5772183537483215
260,0,0.07068850100040436
261,0,0.8263009190559387
272,1,0.6074299812316895
283,0,0.45034751296043396
285,0,0.47250106930732727
286,1,0.5627293586730957
287,0,0.4963989555835724
289,0,0.2804442346096039
308,0,0.3127237558364868
312,0,0.7234926223754883
331,0,0.31974920630455017
334,0,0.04359149932861328
362,0,0.9350870847702026
368,0,0.6681934595108032
370,0,0.44563427567481995
380,0,0.4124879837036133
384,0,0.33303555846214294
395,0,0.15643270313739777
396,0,0.36372092366218567
404,0,0.4029023051261902
416,1,0.7820907831192017
422,1,0.49954479932785034
428,0,0.5268081426620483
430,0,0.3168763518333435
437,0,0.41252660751342773
441,0,0.3928227722644806
453,0,0.04523938521742821
460,0,0.22662821412086487
461,0,0.21272297203540802
478,0,0.3773920238018036
498,0,0.6343197822570801
509,0,0.5329697728157043
514,0,0.4715210199356079
518,0,0.8193027973175049
522,0,0.5542154312133789
530,0,0.6081870794296265
544,0,0.2470664083957672
546,0,0.44237664341926575
561,0,0.462072491645813
575,0,0.13356460630893707
578,0,0.3750969469547272
580,1,0.4373897910118103
599,0,0.5072422623634338
604,0,0.5834813714027405
612,0,0.319381982088089
615,0,0.4340229332447052
617,0,0.4768217206001282
629,0,0.14015722274780273
635,0,0.6100617051124573
637,0,0.24434174597263336
647,0,0.2655181586742401
653,0,0.4277483820915222
658,0,0.5945571660995483
691,0,0.4012027084827423
692,0,0.48551157116889954
700,0,0.5017138719558716
712,1,0.39095380902290344
714,0,0.3293844759464264
740,0,0.2502685487270355
741,0,0.6136600971221924
744,0,0.6368909478187561
745,0,0.388446569442749
