dataset,model_type,features,y_true,oof_prob
A2,GLM,GFP (top-20),0,0.601423
A2,GLM,GFP (top-20),1,0.504148
A2,GLM,GFP (top-20),0,0.427009
A2,GLM,GFP (top-20),0,0.481994
A2,GLM,GFP (top-20),0,0.418359
A2,GLM,GFP (top-20),1,0.463666
A2,GLM,GFP (top-20),1,0.561943
A2,GLM,GFP (top-20),0,0.552174
A2,GLM,GFP (top-20),0,0.520663
A2,GLM,GFP (top-20),1,0.550228
A2,GLM,GFP (top-20),0,0.441579
A2,GLM,GFP (top-20),0,0.417298
A2,GLM,GFP (top-20),0,0.467402
A2,GLM,GFP (top-20),0,0.435639
A2,GLM,GFP (top-20),1,0.417108
A2,GLM,GFP (top-20),0,0.351376
A2,GLM,GFP (top-20),0,0.466051
A2,GLM,GFP (top-20),0,0.464265
A2,GLM,GFP (top-20),0,0.654815
A2,GLM,GFP (top-20),1,0.45066
A2,GLM,GFP (top-20),0,0.59249
A2,GLM,GFP (top-20),0,0.460225
A2,GLM,GFP (top-20),0,0.713789
A2,GLM,GFP (top-20),1,0.433244
A2,GLM,GFP (top-20),0,0.52196
A2,GLM,GFP (top-20),0,0.548723
A2,GLM,GFP (top-20),0,0.45
A2,GLM,GFP (top-20),0,0.457877
A2,GLM,GFP (top-20),0,0.45998
A2,GLM,GFP (top-20),1,0.291432
A2,GLM,GFP (top-20),0,0.586708
A2,GLM,GFP (top-20),0,0.438238
A2,GLM,GFP (top-20),0,0.513746
A2,GLM,GFP (top-20),0,0.363699
A2,GLM,GFP (top-20),0,0.389514
A2,GLM,GFP (top-20),0,0.465825
A2,GLM,GFP (top-20),1,0.354884
A2,GLM,GFP (top-20),0,0.540437
A2,GLM,GFP (top-20),1,0.613362
A2,GLM,GFP (top-20),0,0.397668
A2,GLM,GFP (top-20),1,0.429897
A2,GLM,GFP (top-20),0,0.48563
A2,GLM,GFP (top-20),0,0.392353
A2,GLM,GFP (top-20),0,0.525747
A2,GLM,GFP (top-20),0,0.663154
A2,GLM,GFP (top-20),1,0.477602
A2,GLM,GFP (top-20),0,0.411459
A2,GLM,GFP (top-20),0,0.63744
A2,GLM,GFP (top-20),0,0.435525
A2,GLM,GFP (top-20),0,0.505348
A2,GLM,GFP (top-20),1,0.36903
A2,GLM,GFP (top-20),0,0.550821
A2,GLM,GFP (top-20),0,0.338725
A2,GLM,GFP (top-20),0,0.439609
A2,GLM,GFP (top-20),0,0.362568
A2,GLM,GFP (top-20),0,0.414769
A2,GLM,GFP (top-20),0,0.530932
A2,GLM,GFP (top-20),0,0.542851
A2,GLM,GFP (top-20),0,0.807893
A2,GLM,GFP (top-20),0,0.451566
A2,GLM,GFP (top-20),0,0.553673
A2,GLM,GFP (top-20),0,0.55745
A2,GLM,GFP (top-20),0,0.399825
A2,GLM,GFP (top-20),0,0.495093
A2,GLM,GFP (top-20),0,0.535739
A2,GLM,GFP (top-20),0,0.590756
A2,GLM,GFP (top-20),0,0.486726
A2,GLM,GFP (top-20),0,0.480736
A2,GLM,GFP (top-20),0,0.551165
A2,GLM,GFP (top-20),0,0.37072
A2,GLM,GFP (top-20),1,0.570758
A2,GLM,GFP (top-20),0,0.529107
A2,GLM,GFP (top-20),1,0.495829
A2,GLM,GFP (top-20),0,0.392935
A2,GLM,GFP (top-20),0,0.369169
A2,GLM,GFP (top-20),0,0.585711
A2,GLM,GFP (top-20),0,0.639927
A2,GLM,GFP (top-20),0,0.444129
A2,GLM,GFP (top-20),0,0.491806
A2,GLM,GFP (top-20),0,0.369311
A2,GLM,GFP (top-20),0,0.5072
A2,GLM,GFP (top-20),0,0.4828
A2,GLM,GFP (top-20),0,0.470934
A2,GLM,GFP (top-20),0,0.447651
A2,GLM,GFP (top-20),0,0.554427
A2,GLM,GFP (top-20),0,0.471875
A2,GLM,GFP (top-20),0,0.711155
A2,GLM,GFP (top-20),0,0.517116
A2,GLM,GFP (top-20),0,0.381188
A2,GLM,GFP (top-20),0,0.597104
A2,GLM,GFP (top-20),0,0.574302
A2,GLM,GFP (top-20),1,0.49167
A2,GLM,GFP (top-20),0,0.494283
A2,GLM,GFP (top-20),1,0.577228
A2,GLM,GFP (top-20),1,0.584601
A2,GLM,GFP (top-20),1,0.500163
A2,GLM,GFP (top-20),0,0.523573
A2,GLM,GFP (top-20),0,0.54539
A2,GLM,GFP (top-20),1,0.540873
A2,GLM,GFP (top-20),1,0.656388
A2,GLM,GFP (top-20),1,0.515923
A2,GLM,GFP (top-20),1,0.47018
A2,GLM,GFP (top-20),1,0.614069
A2,GLM,GFP (top-20),0,0.684391
A2,GLM,GFP (top-20),1,0.451842
A2,GLM,GFP (top-20),0,0.651375
A2,GLM,GFP (top-20),0,0.607651
A2,GLM,GFP (top-20),0,0.513209
A2,GLM,GFP (top-20),1,0.543868
A2,GLM,GFP (top-20),1,0.599185
A2,GLM,GFP (top-20),0,0.363716
A2,GLM,GFP (top-20),0,0.699147
A2,GLM,GFP (top-20),1,0.635439
A2,GLM,GFP (top-20),1,0.533404
A2,GLM,GFP (top-20),0,0.729518
A2,GLM,GFP (top-20),0,0.505064
A2,GLM,GFP (top-20),0,0.567565
A2,GLM,GFP (top-20),0,0.491687
A2,GLM,GFP (top-20),0,0.454016
A2,GLM,GFP (top-20),0,0.516684
A2,GLM,GFP (top-20),0,0.428465
A2,GLM,GFP (top-20),0,0.57163
A2,GLM,GFP (top-20),0,0.649195
A2,GLM,GFP (top-20),0,0.405939
A2,GLM,GFP (top-20),1,0.793759
A2,GLM,GFP (top-20),1,0.456868
A2,GLM,GFP (top-20),0,0.382288
A2,GLM,GFP (top-20),1,0.597252
A2,GLM,GFP (top-20),1,0.536933
A2,GLM,GFP (top-20),1,0.468814
A2,GLM,GFP (top-20),0,0.536757
A2,GLM,GFP (top-20),1,0.6412
A2,GLM,GFP (top-20),0,0.788423
A2,GLM,GFP (top-20),1,0.662318
A2,GLM,GFP (top-20),1,0.736911
A2,GLM,GFP (top-20),0,0.524296
A2,GLM,GFP (top-20),0,0.416936
A2,GLM,GFP (top-20),0,0.625366
A2,GLM,GFP (top-20),0,0.543578
A2,GLM,GFP (top-20),1,0.508861
A2,GLM,GFP (top-20),1,0.505934
A2,GLM,GFP (top-20),0,0.689397
A2,GLM,GFP (top-20),0,0.708188
A2,GLM,GFP (top-20),0,0.451118
A2,GLM,GFP (top-20),1,0.382584
A2,GLM,GFP (top-20),1,0.61755
A2,GLM,GFP (top-20),1,0.699327
A2,GLM,GFP (top-20),1,0.369537
A2,GLM,GFP (top-20),0,0.656565
A2,GLM,GFP (top-20),1,0.443493
A2,GLM,GFP (top-20),0,0.629797
A2,GLM,GFP (top-20),0,0.437037
A2,GLM,GFP (top-20),1,0.548121
A2,GLM,GFP (top-20),0,0.482953
A2,GLM,GFP (top-20),0,0.529397
A2,GLM,GFP (top-20),0,0.498097
A2,GLM,GFP (top-20),0,0.658512
A2,GLM,GFP (top-20),0,0.34484
A2,GLM,GFP (top-20),0,0.758741
A2,GLM,GFP (top-20),0,0.482975
A2,GLM,GFP (top-20),0,0.649355
A2,GLM,GFP (top-20),1,0.690496
A2,GLM,GFP (top-20),1,0.658849
A2,GLM,GFP (top-20),0,0.373053
A2,GLM,GFP (top-20),1,0.548869
A2,GLM,BF (top-20),1,0.563886
A2,GLM,BF (top-20),0,0.373177
A2,GLM,BF (top-20),0,0.16363
A2,GLM,BF (top-20),1,0.76692
A2,GLM,BF (top-20),0,0.128863
A2,GLM,BF (top-20),0,0.473849
A2,GLM,BF (top-20),0,0.664393
A2,GLM,BF (top-20),0,0.309619
A2,GLM,BF (top-20),1,0.554562
A2,GLM,BF (top-20),0,0.888304
A2,GLM,BF (top-20),0,0.054151
A2,GLM,BF (top-20),0,0.045093
A2,GLM,BF (top-20),0,0.777867
A2,GLM,BF (top-20),1,0.2078
A2,GLM,BF (top-20),0,0.434149
A2,GLM,BF (top-20),0,0.125586
A2,GLM,BF (top-20),0,0.353095
A2,GLM,BF (top-20),0,0.643819
A2,GLM,BF (top-20),0,0.166863
A2,GLM,BF (top-20),0,0.772405
