dataset,model_type,features,y_true,oof_prob
A2,GLM,GFP (top-20),0,0.89148
A2,GLM,GFP (top-20),1,0.459997
A2,GLM,GFP (top-20),0,0.599337
A2,GLM,GFP (top-20),0,0.536968
A2,GLM,GFP (top-20),0,0.391263
A2,GLM,GFP (top-20),1,0.720538
A2,GLM,GFP (top-20),1,0.466631
A2,GLM,GFP (top-20),0,0.349108
A2,GLM,GFP (top-20),0,0.854419
A2,GLM,GFP (top-20),1,0.502867
A2,GLM,GFP (top-20),0,0.433776
A2,GLM,GFP (top-20),0,0.447338
A2,GLM,GFP (top-20),0,0.544247
A2,GLM,GFP (top-20),0,0.38901
A2,GLM,GFP (top-20),1,0.434813
A2,GLM,GFP (top-20),0,0.220818
A2,GLM,GFP (top-20),0,0.505918
A2,GLM,GFP (top-20),0,0.496557
A2,GLM,GFP (top-20),0,0.611831
A2,GLM,GFP (top-20),1,0.297746
A2,GLM,GFP (top-20),0,0.335935
A2,GLM,GFP (top-20),0,0.395533
A2,GLM,GFP (top-20),0,0.859659
A2,GLM,GFP (top-20),1,0.478534
A2,GLM,GFP (top-20),0,0.589251
A2,GLM,GFP (top-20),0,0.545162
A2,GLM,GFP (top-20),0,0.348117
A2,GLM,GFP (top-20),0,0.749226
A2,GLM,GFP (top-20),0,0.398211
A2,GLM,GFP (top-20),1,0.283912
A2,GLM,GFP (top-20),0,0.406282
A2,GLM,GFP (top-20),0,0.333489
A2,GLM,GFP (top-20),0,0.322253
A2,GLM,GFP (top-20),0,0.39268
A2,GLM,GFP (top-20),0,0.408068
A2,GLM,GFP (top-20),0,0.512703
A2,GLM,GFP (top-20),1,0.143235
A2,GLM,GFP (top-20),0,0.482576
A2,GLM,GFP (top-20),1,0.741227
A2,GLM,GFP (top-20),0,0.400917
A2,GLM,GFP (top-20),1,0.372203
A2,GLM,GFP (top-20),0,0.410423
A2,GLM,GFP (top-20),0,0.219655
A2,GLM,GFP (top-20),0,0.523867
A2,GLM,GFP (top-20),0,0.140775
A2,GLM,GFP (top-20),1,0.450545
A2,GLM,GFP (top-20),0,0.441916
A2,GLM,GFP (top-20),0,0.509806
A2,GLM,GFP (top-20),0,0.269191
A2,GLM,GFP (top-20),0,0.53967
A2,GLM,GFP (top-20),1,0.347585
A2,GLM,GFP (top-20),0,0.542899
A2,GLM,GFP (top-20),0,0.296044
A2,GLM,GFP (top-20),0,0.144889
A2,GLM,GFP (top-20),0,0.213704
A2,GLM,GFP (top-20),0,0.389514
A2,GLM,GFP (top-20),0,0.521638
A2,GLM,GFP (top-20),0,0.420205
A2,GLM,GFP (top-20),0,0.791545
A2,GLM,GFP (top-20),0,0.598269
A2,GLM,GFP (top-20),0,0.516265
A2,GLM,GFP (top-20),0,0.681629
A2,GLM,GFP (top-20),0,0.474839
A2,GLM,GFP (top-20),0,0.408555
A2,GLM,GFP (top-20),0,0.336273
A2,GLM,GFP (top-20),0,0.625045
A2,GLM,GFP (top-20),0,0.65858
A2,GLM,GFP (top-20),0,0.431926
A2,GLM,GFP (top-20),0,0.532492
A2,GLM,GFP (top-20),0,0.228349
A2,GLM,GFP (top-20),1,0.584591
A2,GLM,GFP (top-20),0,0.332168
