dataset,model_type,features,y_true,oof_prob
A2,TopKNet,GFP (top-20),0,0.552917
A2,TopKNet,GFP (top-20),1,0.416355
A2,TopKNet,GFP (top-20),0,0.537464
A2,TopKNet,GFP (top-20),0,0.493028
A2,TopKNet,GFP (top-20),0,0.44244
A2,TopKNet,GFP (top-20),0,0.514006
A2,TopKNet,GFP (top-20),0,0.497739
A2,TopKNet,GFP (top-20),0,0.542813
A2,TopKNet,GFP (top-20),0,0.452246
A2,TopKNet,GFP (top-20),0,0.661746
A2,TopKNet,GFP (top-20),1,0.560285
A2,TopKNet,GFP (top-20),0,0.648507
A2,TopKNet,GFP (top-20),1,0.460321
A2,TopKNet,GFP (top-20),0,0.537096
A2,TopKNet,GFP (top-20),0,0.476674
A2,TopKNet,GFP (top-20),0,0.41231
A2,TopKNet,GFP (top-20),1,0.540484
A2,TopKNet,GFP (top-20),1,0.59671
A2,TopKNet,GFP (top-20),0,0.625457
A2,TopKNet,GFP (top-20),0,0.500106
A2,TopKNet,GFP (top-20),1,0.564494
A2,TopKNet,GFP (top-20),0,0.517987
A2,TopKNet,GFP (top-20),0,0.455999
A2,TopKNet,GFP (top-20),0,0.550642
A2,TopKNet,GFP (top-20),0,0.408739
A2,TopKNet,GFP (top-20),1,0.584338
A2,TopKNet,GFP (top-20),0,0.452809
A2,TopKNet,GFP (top-20),0,0.45775
A2,TopKNet,GFP (top-20),0,0.570803
A2,TopKNet,GFP (top-20),0,0.528289
A2,TopKNet,GFP (top-20),1,0.448384
A2,TopKNet,GFP (top-20),0,0.591687
A2,TopKNet,GFP (top-20),0,0.4309
A2,TopKNet,GFP (top-20),0,0.594932
A2,TopKNet,GFP (top-20),1,0.422274
A2,TopKNet,GFP (top-20),0,0.50338
A2,TopKNet,GFP (top-20),0,0.561722
A2,TopKNet,GFP (top-20),0,0.417807
A2,TopKNet,GFP (top-20),0,0.455414
A2,TopKNet,GFP (top-20),0,0.55586
A2,TopKNet,GFP (top-20),1,0.519458
A2,TopKNet,GFP (top-20),0,0.595345
A2,TopKNet,GFP (top-20),0,0.44121
A2,TopKNet,GFP (top-20),0,0.484167
A2,TopKNet,GFP (top-20),0,0.45233
A2,TopKNet,GFP (top-20),0,0.541471
A2,TopKNet,GFP (top-20),0,0.47192
A2,TopKNet,GFP (top-20),1,0.489949
A2,TopKNet,GFP (top-20),0,0.497067
A2,TopKNet,GFP (top-20),1,0.50996
A2,TopKNet,GFP (top-20),0,0.515395
A2,TopKNet,GFP (top-20),1,0.514264
A2,TopKNet,GFP (top-20),0,0.555079
A2,TopKNet,GFP (top-20),0,0.413648
A2,TopKNet,GFP (top-20),0,0.54801
A2,TopKNet,GFP (top-20),0,0.610689
A2,TopKNet,GFP (top-20),1,0.440289
A2,TopKNet,GFP (top-20),0,0.431945
A2,TopKNet,GFP (top-20),0,0.603006
A2,TopKNet,GFP (top-20),0,0.441663
A2,TopKNet,GFP (top-20),0,0.678715
A2,TopKNet,GFP (top-20),1,0.472651
A2,TopKNet,GFP (top-20),0,0.486568
A2,TopKNet,GFP (top-20),0,0.519454
A2,TopKNet,GFP (top-20),0,0.440437
A2,TopKNet,GFP (top-20),0,0.39253
A2,TopKNet,GFP (top-20),0,0.406296
A2,TopKNet,GFP (top-20),0,0.447132
A2,TopKNet,GFP (top-20),0,0.562363
A2,TopKNet,GFP (top-20),0,0.610273
A2,TopKNet,GFP (top-20),0,0.446776
A2,TopKNet,GFP (top-20),0,0.540124
A2,TopKNet,GFP (top-20),0,0.506728
A2,TopKNet,GFP (top-20),0,0.383163
A2,TopKNet,GFP (top-20),0,0.570558
A2,TopKNet,GFP (top-20),0,0.55781
A2,TopKNet,GFP (top-20),0,0.566358
A2,TopKNet,GFP (top-20),0,0.462033
A2,TopKNet,GFP (top-20),0,0.541133
A2,TopKNet,GFP (top-20),0,0.453349
A2,TopKNet,GFP (top-20),0,0.533285
A2,TopKNet,GFP (top-20),1,0.564107
A2,TopKNet,GFP (top-20),0,0.530116
A2,TopKNet,GFP (top-20),1,0.491989
A2,TopKNet,GFP (top-20),0,0.445786
A2,TopKNet,GFP (top-20),0,0.423186
A2,TopKNet,GFP (top-20),0,0.458908
A2,TopKNet,GFP (top-20),0,0.628734
A2,TopKNet,GFP (top-20),0,0.4673
A2,TopKNet,GFP (top-20),0,0.471605
A2,TopKNet,GFP (top-20),0,0.451466
A2,TopKNet,GFP (top-20),0,0.574896
A2,TopKNet,GFP (top-20),0,0.508367
A2,TopKNet,GFP (top-20),0,0.439507
A2,TopKNet,GFP (top-20),0,0.516964
A2,TopKNet,GFP (top-20),0,0.509145
A2,TopKNet,GFP (top-20),0,0.536467
A2,TopKNet,GFP (top-20),0,0.633297
A2,TopKNet,GFP (top-20),0,0.475711
A2,TopKNet,GFP (top-20),0,0.475104
A2,TopKNet,GFP (top-20),0,0.62831
A2,TopKNet,GFP (top-20),0,0.49295
A2,TopKNet,GFP (top-20),1,0.480451
A2,TopKNet,GFP (top-20),0,0.490489
A2,TopKNet,GFP (top-20),1,0.624835
A2,TopKNet,GFP (top-20),1,0.550401
A2,TopKNet,GFP (top-20),1,0.498507
A2,TopKNet,GFP (top-20),0,0.542628
A2,TopKNet,GFP (top-20),0,0.576931
A2,TopKNet,GFP (top-20),1,0.522604
A2,TopKNet,GFP (top-20),1,0.601373
A2,TopKNet,GFP (top-20),1,0.488166
A2,TopKNet,GFP (top-20),1,0.537517
A2,TopKNet,GFP (top-20),1,0.546387
A2,TopKNet,GFP (top-20),0,0.628411
A2,TopKNet,GFP (top-20),1,0.425996
A2,TopKNet,GFP (top-20),0,0.603516
A2,TopKNet,GFP (top-20),0,0.570592
A2,TopKNet,GFP (top-20),0,0.467577
A2,TopKNet,GFP (top-20),1,0.618416
A2,TopKNet,GFP (top-20),1,0.602042
A2,TopKNet,GFP (top-20),0,0.476509
A2,TopKNet,GFP (top-20),0,0.637427
A2,TopKNet,GFP (top-20),1,0.584634
A2,TopKNet,GFP (top-20),1,0.555904
A2,TopKNet,GFP (top-20),0,0.54485
A2,TopKNet,GFP (top-20),0,0.495632
A2,TopKNet,GFP (top-20),0,0.622674
A2,TopKNet,GFP (top-20),0,0.604721
A2,TopKNet,GFP (top-20),0,0.672465
A2,TopKNet,GFP (top-20),0,0.529683
A2,TopKNet,GFP (top-20),0,0.465751
A2,TopKNet,GFP (top-20),0,0.592275
A2,TopKNet,GFP (top-20),0,0.451065
A2,TopKNet,GFP (top-20),0,0.440888
A2,TopKNet,GFP (top-20),1,0.597396
A2,TopKNet,GFP (top-20),1,0.546648
A2,TopKNet,GFP (top-20),0,0.538695
A2,TopKNet,GFP (top-20),1,0.60359
A2,TopKNet,GFP (top-20),1,0.704323
A2,TopKNet,GFP (top-20),1,0.464713
A2,TopKNet,GFP (top-20),0,0.579
A2,TopKNet,GFP (top-20),1,0.618197
A2,TopKNet,GFP (top-20),0,0.783424
A2,TopKNet,GFP (top-20),1,0.496001
A2,TopKNet,GFP (top-20),1,0.650902
A2,TopKNet,GFP (top-20),0,0.565911
A2,TopKNet,GFP (top-20),0,0.457857
A2,TopKNet,GFP (top-20),0,0.585991
A2,TopKNet,GFP (top-20),0,0.504135
A2,TopKNet,GFP (top-20),1,0.631224
A2,TopKNet,GFP (top-20),1,0.462784
A2,TopKNet,GFP (top-20),0,0.629431
A2,TopKNet,GFP (top-20),0,0.526294
A2,TopKNet,GFP (top-20),0,0.445584
A2,TopKNet,GFP (top-20),1,0.46492
A2,TopKNet,GFP (top-20),1,0.600495
A2,TopKNet,GFP (top-20),0,0.502892
A2,TopKNet,GFP (top-20),1,0.562857
A2,TopKNet,BF (top-20),1,0.532412
A2,TopKNet,BF (top-20),0,0.468968
A2,TopKNet,BF (top-20),0,0.411298
A2,TopKNet,BF (top-20),1,0.517773
A2,TopKNet,BF (top-20),0,0.523002
A2,TopKNet,BF (top-20),0,0.605335
A2,TopKNet,BF (top-20),0,0.487821
A2,TopKNet,BF (top-20),0,0.456247
A2,TopKNet,BF (top-20),1,0.517062
A2,TopKNet,BF (top-20),0,0.519346
A2,TopKNet,BF (top-20),0,0.544284
A2,TopKNet,BF (top-20),0,0.448904
A2,TopKNet,BF (top-20),0,0.538101
A2,TopKNet,BF (top-20),1,0.520807
A2,TopKNet,BF (top-20),0,0.486086
A2,TopKNet,BF (top-20),0,0.416446
A2,TopKNet,BF (top-20),0,0.477875
A2,TopKNet,BF (top-20),0,0.530159
A2,TopKNet,BF (top-20),0,0.440497
A2,TopKNet,BF (top-20),0,0.494701
A2,TopKNet,BF (top-20),0,0.542632
A2,TopKNet,BF (top-20),0,0.466974
A2,TopKNet,BF (top-20),0,0.423336
A2,TopKNet,BF (top-20),0,0.538458
A2,TopKNet,BF (top-20),0,0.540159
A2,TopKNet,BF (top-20),0,0.499504
A2,TopKNet,BF (top-20),0,0.535618
A2,TopKNet,BF (top-20),0,0.473838
A2,TopKNet,BF (top-20),1,0.509213
A2,TopKNet,BF (top-20),0,0.466369
A2,TopKNet,BF (top-20),0,0.47279
A2,TopKNet,BF (top-20),1,0.484448
