subset,features,y_true,oof_prob
all_b2r,GFP (top-20),1,0.515234
all_b2r,GFP (top-20),0,0.414006
all_b2r,GFP (top-20),0,0.797887
all_b2r,GFP (top-20),0,0.44749
all_b2r,GFP (top-20),0,0.437346
all_b2r,GFP (top-20),0,0.438217
all_b2r,GFP (top-20),1,0.443832
all_b2r,GFP (top-20),0,0.475904
all_b2r,GFP (top-20),0,0.584858
all_b2r,GFP (top-20),0,0.52169
all_b2r,GFP (top-20),1,0.760341
all_b2r,GFP (top-20),1,0.489952
all_b2r,GFP (top-20),0,0.556602
all_b2r,GFP (top-20),1,0.469961
all_b2r,GFP (top-20),0,0.461232
all_b2r,GFP (top-20),1,0.625295
all_b2r,GFP (top-20),0,0.452125
all_b2r,GFP (top-20),0,0.557964
all_b2r,GFP (top-20),1,0.528744
all_b2r,GFP (top-20),0,0.535884
all_b2r,GFP (top-20),0,0.87437
all_b2r,GFP (top-20),0,0.547005
all_b2r,GFP (top-20),0,0.49457
all_b2r,GFP (top-20),0,0.517625
all_b2r,GFP (top-20),0,0.445952
all_b2r,GFP (top-20),0,0.269905
all_b2r,GFP (top-20),0,0.762895
all_b2r,GFP (top-20),0,0.040235
all_b2r,GFP (top-20),0,0.457188
all_b2r,GFP (top-20),0,0.93697
all_b2r,GFP (top-20),0,0.542877
all_b2r,GFP (top-20),0,0.331417
all_b2r,GFP (top-20),0,0.449659
all_b2r,GFP (top-20),0,0.55318
all_b2r,GFP (top-20),0,0.479558
all_b2r,GFP (top-20),0,0.46409
all_b2r,GFP (top-20),0,0.462325
all_b2r,GFP (top-20),0,0.441744
all_b2r,GFP (top-20),0,0.44124
all_b2r,GFP (top-20),0,0.43399
all_b2r,GFP (top-20),0,0.482579
all_b2r,GFP (top-20),0,0.419572
all_b2r,GFP (top-20),0,0.549279
all_b2r,GFP (top-20),0,0.331942
all_b2r,GFP (top-20),1,0.593597
all_b2r,GFP (top-20),1,0.492537
all_b2r,GFP (top-20),0,0.457793
all_b2r,GFP (top-20),0,0.347628
all_b2r,GFP (top-20),0,0.449465
all_b2r,GFP (top-20),0,0.417216
all_b2r,GFP (top-20),0,0.441483
all_b2r,GFP (top-20),0,0.483186
all_b2r,GFP (top-20),0,0.485018
all_b2r,GFP (top-20),0,0.390229
all_b2r,GFP (top-20),0,0.471972
all_b2r,GFP (top-20),0,0.407021
all_b2r,GFP (top-20),0,0.538297
all_b2r,GFP (top-20),1,0.445126
all_b2r,GFP (top-20),1,0.315712
all_b2r,GFP (top-20),0,0.473345
all_b2r,GFP (top-20),0,0.483318
all_b2r,GFP (top-20),0,0.378064
all_b2r,GFP (top-20),1,0.386633
all_b2r,GFP (top-20),0,0.446168
all_b2r,GFP (top-20),0,0.485475
all_b2r,GFP (top-20),1,0.489796
all_b2r,GFP (top-20),0,0.464406
all_b2r,GFP (top-20),0,0.562887
all_b2r,GFP (top-20),0,0.549869
all_b2r,GFP (top-20),1,0.470047
all_b2r,GFP (top-20),0,0.439156
all_b2r,GFP (top-20),0,0.473734
all_b2r,GFP (top-20),1,0.433238
all_b2r,GFP (top-20),0,0.477907
all_b2r,GFP (top-20),0,0.490438
all_b2r,GFP (top-20),0,0.69445
all_b2r,GFP (top-20),0,0.477295
all_b2r,GFP (top-20),1,0.68774
all_b2r,GFP (top-20),0,0.499944
all_b2r,GFP (top-20),0,0.332187
all_b2r,GFP (top-20),0,0.644845
all_b2r,GFP (top-20),1,0.473304
all_b2r,GFP (top-20),0,0.390051
all_b2r,GFP (top-20),1,0.481412
all_b2r,GFP (top-20),0,0.538909
all_b2r,GFP (top-20),0,0.459139
all_b2r,GFP (top-20),1,0.554869
all_b2r,GFP (top-20),0,0.515043
all_b2r,GFP (top-20),0,0.520535
all_b2r,GFP (top-20),0,0.377666
all_b2r,GFP (top-20),0,0.644094
all_b2r,GFP (top-20),0,0.450871
all_b2r,GFP (top-20),0,0.160186
all_b2r,GFP (top-20),0,0.174896
all_b2r,GFP (top-20),0,0.562772
all_b2r,GFP (top-20),0,0.54336
all_b2r,GFP (top-20),0,0.444642
all_b2r,GFP (top-20),0,0.338471
all_b2r,GFP (top-20),1,0.20175
all_b2r,GFP (top-20),0,0.496133
all_b2r,GFP (top-20),0,0.488636
all_b2r,GFP (top-20),1,0.620545
all_b2r,GFP (top-20),0,0.454953
all_b2r,GFP (top-20),0,0.530508
all_b2r,GFP (top-20),1,0.559087
all_b2r,GFP (top-20),0,0.547643
all_b2r,GFP (top-20),0,0.263266
all_b2r,GFP (top-20),0,0.476073
all_b2r,GFP (top-20),0,0.534072
all_b2r,GFP (top-20),0,0.412648
all_b2r,GFP (top-20),0,0.469819
all_b2r,GFP (top-20),0,0.327728
all_b2r,GFP (top-20),0,0.447253
all_b2r,GFP (top-20),1,0.540304
all_b2r,GFP (top-20),0,0.25044
all_b2r,GFP (top-20),0,0.462692
all_b2r,GFP (top-20),0,0.36424
all_b2r,GFP (top-20),0,0.521425
all_b2r,GFP (top-20),0,0.424094
all_b2r,GFP (top-20),0,0.493933
all_b2r,GFP (top-20),0,0.476574
all_b2r,GFP (top-20),0,0.551658
all_b2r,GFP (top-20),0,0.482617
all_b2r,GFP (top-20),0,0.150552
all_b2r,GFP (top-20),0,0.461417
all_b2r,GFP (top-20),0,0.448091
all_b2r,GFP (top-20),0,0.481294
all_b2r,GFP (top-20),0,0.51097
all_b2r,GFP (top-20),1,0.481202
all_b2r,GFP (top-20),0,0.519028
all_b2r,GFP (top-20),0,0.433202
all_b2r,GFP (top-20),0,0.447677
all_b2r,GFP (top-20),0,0.425953
all_b2r,GFP (top-20),0,0.449323
all_b2r,GFP (top-20),0,0.467829
all_b2r,GFP (top-20),0,0.563615
all_b2r,GFP (top-20),0,0.482492
all_b2r,GFP (top-20),0,0.415061
all_b2r,GFP (top-20),0,0.446435
all_b2r,GFP (top-20),0,0.511161
all_b2r,GFP (top-20),0,0.446368
all_b2r,GFP (top-20),0,0.482323
all_b2r,GFP (top-20),0,0.508265
all_b2r,GFP (top-20),0,0.480491
all_b2r,GFP (top-20),0,0.441554
all_b2r,GFP (top-20),0,0.496973
all_b2r,GFP (top-20),0,0.708129
all_b2r,GFP (top-20),0,0.551167
all_b2r,GFP (top-20),0,0.407763
all_b2r,GFP (top-20),0,0.467813
all_b2r,GFP (top-20),0,0.489074
all_b2r,GFP (top-20),0,0.481693
all_b2r,GFP (top-20),0,0.482836
all_b2r,GFP (top-20),0,0.483064
all_b2r,GFP (top-20),0,0.30155
all_b2r,GFP (top-20),1,0.442034
all_b2r,GFP (top-20),0,0.495133
all_b2r,GFP (top-20),0,0.497929
all_b2r,GFP (top-20),0,0.413172
all_b2r,BF (top-20),0,0.27042
all_b2r,BF (top-20),0,0.246573
all_b2r,BF (top-20),0,0.433232
all_b2r,BF (top-20),0,0.614505
all_b2r,BF (top-20),0,0.427467
all_b2r,BF (top-20),0,0.003742
all_b2r,BF (top-20),1,0.72412
all_b2r,BF (top-20),0,0.053641
all_b2r,BF (top-20),0,0.240712
all_b2r,BF (top-20),0,0.8158
all_b2r,BF (top-20),0,0.163439
all_b2r,BF (top-20),0,0.54807
all_b2r,BF (top-20),0,0.826575
all_b2r,BF (top-20),0,0.115428
all_b2r,BF (top-20),0,0.037789
all_b2r,BF (top-20),0,0.248885
all_b2r,BF (top-20),0,0.191119
all_b2r,BF (top-20),0,0.186353
all_b2r,BF (top-20),0,0.058723
all_b2r,BF (top-20),1,0.530072
all_b2r,BF (top-20),0,0.084826
all_b2r,BF (top-20),0,0.431478
all_b2r,BF (top-20),0,0.01399
all_b2r,BF (top-20),0,0.312715
all_b2r,BF (top-20),1,0.292236
all_b2r,BF (top-20),1,0.588329
all_b2r,BF (top-20),0,0.326367
all_b2r,BF (top-20),0,0.880459
all_b2r,BF (top-20),1,0.965758
all_b2r,BF (top-20),0,0.329942
all_b2r,BF (top-20),0,0.608013
all_b2r,BF (top-20),0,0.039664
all_b2r,BF (top-20),1,0.150382
all_b2r,BF (top-20),0,0.019034
all_b2r,BF (top-20),1,0.923281
all_b2r,BF (top-20),0,0.007415
all_b2r,BF (top-20),0,0.241328
all_b2r,BF (top-20),0,0.901996
all_b2r,BF (top-20),0,0.250677
all_b2r,BF (top-20),0,0.867148
all_b2r,BF (top-20),1,0.4312
all_b2r,BF (top-20),1,0.486562
all_b2r,BF (top-20),0,0.021829
all_b2r,BF (top-20),0,0.150066
all_b2r,BF (top-20),0,0.144169
all_b2r,BF (top-20),1,0.584203
all_b2r,BF (top-20),0,0.469656
all_b2r,BF (top-20),0,0.075394
all_b2r,BF (top-20),0,0.39595
all_b2r,BF (top-20),0,0.012962
