dataset,model_type,features,n,n_fast,auc,ap,sens,spec,bal_acc,mcc
A2,Head20Net,GFP (256),274,54,0.648,0.291,0.611,0.623,0.617,0.188
A2,Head20Net,BF (256),274,54,0.575,0.26,0.37,0.755,0.562,0.112
A2,Head20Net,GFP+BF (512),274,54,0.666,0.319,0.667,0.605,0.636,0.217
A3,Head20Net,GFP (256),223,51,0.592,0.348,0.49,0.674,0.582,0.144
A3,Head20Net,BF (256),223,51,0.598,0.334,0.529,0.57,0.55,0.084
A3,Head20Net,GFP+BF (512),223,51,0.552,0.33,0.471,0.599,0.535,0.059
A2+A3,Head20Net,GFP (256),497,105,0.631,0.333,0.562,0.607,0.585,0.139
A2+A3,Head20Net,BF (256),497,105,0.611,0.314,0.638,0.513,0.575,0.123
A2+A3,Head20Net,GFP+BF (512),497,105,0.643,0.319,0.629,0.574,0.601,0.166
