Track ID,mean_speed,group
1,4.978865085495872,infected
11,3.29885297393332,infected
15,7.6570903019770045,infected
19,8.827663900685865,non_infected
22,4.785413035762059,non_infected
23,5.400117545060304,non_infected
25,7.996151045745185,non_infected
30,7.9411240193672645,infected
33,7.195870895870902,non_infected
42,7.428843450129769,non_infected
44,5.810146924156196,infected
47,7.5727323845950005,infected
53,7.084042861854635,non_infected
55,8.523764910303104,non_infected
56,9.299888068609302,non_infected
64,7.540242492732,non_infected
70,9.048287758960154,non_infected
73,5.338060963524783,non_infected
74,6.114591172990441,non_infected
81,7.4396624642284435,non_infected
87,11.389287547823571,non_infected
88,7.969321075981821,non_infected
89,5.1869708555042005,non_infected
97,12.098402679020763,non_infected
107,8.334024263945714,non_infected
109,7.633251035876669,non_infected
115,4.7450800354298845,infected
120,8.199072720425892,non_infected
121,4.099485141013153,non_infected
131,10.801802274608944,non_infected
132,7.946855407774563,non_infected
137,6.351745353815464,non_infected
143,9.11853511343697,non_infected
146,8.196150848462647,infected
155,8.879482553331174,non_infected
159,6.945333106401537,non_infected
163,4.457570233531844,non_infected
168,9.096602460381117,non_infected
173,8.36800487220517,non_infected
177,7.1489435779091455,non_infected
180,6.698968349369926,non_infected
184,6.631541415177459,non_infected
187,7.6626665165970325,non_infected
194,6.249002018877727,non_infected
196,8.19367293801644,non_infected
199,7.642231371568746,non_infected
201,6.085380726056582,non_infected
203,6.288714867700733,non_infected
210,8.040569930293792,infected
215,6.636516892801289,non_infected
220,7.134740988178098,infected
224,6.076311982614529,non_infected
225,6.886457290356681,non_infected
230,6.035294264536066,non_infected
232,4.8375537058801275,non_infected
240,7.1715333395596765,non_infected
241,6.984536686319953,non_infected
242,4.449244419729488,non_infected
246,6.684787643819899,non_infected
251,8.897929995531783,non_infected
257,8.272827153347299,infected
264,8.322154531438633,non_infected
265,7.825858497996507,non_infected
267,3.0782869257932544,infected
273,5.570747703637296,non_infected
274,7.9011190210375055,non_infected
278,7.595533130501753,non_infected
286,4.409036972227442,non_infected
310,7.223025914854467,non_infected
312,6.457140425530717,non_infected
313,7.660262267835663,non_infected
314,6.695248417707755,non_infected
317,6.354201182885529,infected
321,5.951710749465905,non_infected
323,6.575088629104536,non_infected
326,7.835330023830789,non_infected
330,8.875814693944585,non_infected
344,6.7870141465983576,non_infected
345,8.535267261527371,non_infected
351,10.535281359803268,non_infected
354,6.445039018980187,non_infected
355,7.477580504342996,non_infected
365,6.536249605175308,infected
370,6.699172493803861,non_infected
371,6.8909098742479635,non_infected
372,7.945609178419552,non_infected
376,9.859182787706114,non_infected
390,7.222997872887972,non_infected
394,9.803218199331262,non_infected
399,8.523869000867258,non_infected
401,8.166051548194213,infected
419,7.868976202322813,non_infected
420,5.404834897629748,non_infected
427,6.514978669400581,non_infected
440,7.968620994847389,non_infected
447,5.613664879022624,non_infected
448,8.863718332284487,non_infected
450,5.161509161315583,infected
452,8.138119564313186,non_infected
455,7.9715820132843165,non_infected
463,5.4189381676074095,non_infected
468,10.859796862635024,non_infected
470,9.62313118783242,non_infected
474,10.2072844323704,non_infected
479,6.275405327830904,non_infected
484,9.059757066252988,non_infected
496,6.649734048117842,non_infected
502,9.089921405404452,non_infected
517,5.632429212068551,non_infected
519,9.479514803208014,non_infected
523,5.735392125490256,non_infected
533,8.905023388428628,infected
536,6.003595910655465,non_infected
537,4.198398400519334,non_infected
547,4.169949686253129,non_infected
551,7.508079426665035,non_infected
552,5.335396785771652,non_infected
563,6.476620651079199,non_infected
570,7.029383366642127,infected
571,6.834990417575028,non_infected
572,5.183338150965073,non_infected
575,5.81895791682783,non_infected
576,5.528080317395109,non_infected
577,5.795801254903306,non_infected
603,7.438655868189426,non_infected
605,8.832387631736081,non_infected
607,10.566852641606758,non_infected
615,10.083939741195294,non_infected
630,7.2426166594786014,non_infected
636,7.388600933217561,non_infected
644,7.768348169387938,non_infected
655,4.802071866400611,non_infected
662,5.7276275335196525,non_infected
664,5.31801219656168,non_infected
667,5.400747635610048,non_infected
677,9.870671924629928,non_infected
679,7.3931639250086345,non_infected
680,8.823444788815914,non_infected
684,8.664822579939145,non_infected
697,6.091034361202533,non_infected
699,9.00182617780796,non_infected
700,4.940299486788871,non_infected
704,5.288906857445352,infected
705,4.477741133072519,non_infected
712,7.112180700477347,non_infected
730,6.152718607870306,infected
731,9.031876670516512,non_infected
738,9.075116891688848,non_infected
742,9.856755525721935,non_infected
751,11.444235290967496,non_infected
754,10.291360184715817,non_infected
771,5.770514896079649,non_infected
775,5.840188792976097,non_infected
794,6.409812149839143,non_infected
796,5.361794468539654,non_infected
798,7.472036851027096,non_infected
802,8.484366652479228,non_infected
808,9.112352391087363,non_infected
809,5.700366234582338,non_infected
810,6.033576174896385,non_infected
813,5.950780421600263,infected
828,6.922196902336637,non_infected
830,6.6888976442273975,non_infected
863,8.923446129102008,non_infected
873,8.562376498888412,non_infected
879,4.843376454598193,non_infected
880,5.321830827165346,non_infected
883,8.398991180557607,non_infected
886,7.5456707002060375,non_infected
888,6.788981764897004,non_infected
898,7.951576006848856,non_infected
900,8.956227959672265,non_infected
903,7.272405052337426,non_infected
912,5.989353579327345,non_infected
914,4.689968872125485,non_infected
915,7.64558535210619,infected
920,6.962576210241922,non_infected
922,6.8647366973182935,infected
928,8.051434482724684,non_infected
930,10.663784606162427,non_infected
933,9.327011643659711,non_infected
946,6.419274377268229,non_infected
948,4.425614228741149,non_infected
955,8.613210871398746,non_infected
960,7.384761060996237,non_infected
964,10.156551995718383,non_infected
971,7.06541548140039,non_infected
983,6.5394502370060295,non_infected
993,7.985869671716377,non_infected
995,6.710483342786695,non_infected
996,7.166376122317063,non_infected
998,6.445222822639806,non_infected
