fpr,tpr
0.0,0.0
0.0,0.012987012987012988
0.007142857142857143,0.012987012987012988
0.007142857142857143,0.025974025974025976
0.009523809523809525,0.025974025974025976
0.009523809523809525,0.03896103896103896
0.014285714285714285,0.03896103896103896
0.014285714285714285,0.05194805194805195
0.01904761904761905,0.05194805194805195
0.01904761904761905,0.07792207792207792
0.023809523809523808,0.07792207792207792
0.023809523809523808,0.1038961038961039
0.030952380952380953,0.1038961038961039
0.030952380952380953,0.11688311688311688
0.0380952380952381,0.11688311688311688
0.0380952380952381,0.12987012987012986
0.04285714285714286,0.12987012987012986
0.04285714285714286,0.14285714285714285
0.05,0.14285714285714285
0.05,0.15584415584415584
0.05238095238095238,0.15584415584415584
0.05238095238095238,0.18181818181818182
0.05714285714285714,0.18181818181818182
0.05714285714285714,0.19480519480519481
0.07142857142857142,0.19480519480519481
0.07142857142857142,0.2077922077922078
0.07380952380952381,0.22077922077922077
0.07380952380952381,0.24675324675324675
0.07380952380952381,0.2597402597402597
0.0761904761904762,0.2597402597402597
0.0761904761904762,0.2857142857142857
0.08095238095238096,0.2857142857142857
0.08095238095238096,0.2987012987012987
0.08571428571428572,0.2987012987012987
0.09285714285714286,0.2987012987012987
0.09761904761904762,0.2987012987012987
0.1,0.2987012987012987
0.10952380952380952,0.2987012987012987
0.10952380952380952,0.3116883116883117
0.11666666666666667,0.3116883116883117
0.11666666666666667,0.3246753246753247
0.12142857142857143,0.3246753246753247
0.12380952380952381,0.3246753246753247
0.12380952380952381,0.33766233766233766
0.13333333333333333,0.33766233766233766
0.1357142857142857,0.35064935064935066
0.14047619047619048,0.35064935064935066
0.14761904761904762,0.35064935064935066
0.14761904761904762,0.36363636363636365
0.15,0.36363636363636365
0.1523809523809524,0.37662337662337664
0.16428571428571428,0.37662337662337664
0.16666666666666666,0.37662337662337664
0.17142857142857143,0.37662337662337664
0.18095238095238095,0.37662337662337664
0.18095238095238095,0.38961038961038963
0.18571428571428572,0.38961038961038963
0.1880952380952381,0.38961038961038963
0.1880952380952381,0.4025974025974026
0.2,0.4025974025974026
0.20238095238095238,0.4025974025974026
0.21428571428571427,0.4025974025974026
0.22142857142857142,0.4025974025974026
0.23095238095238096,0.4155844155844156
0.24523809523809523,0.4155844155844156
0.24523809523809523,0.44155844155844154
0.2619047619047619,0.45454545454545453
0.2642857142857143,0.45454545454545453
0.2642857142857143,0.4675324675324675
0.2642857142857143,0.5064935064935064
0.2714285714285714,0.5194805194805194
0.27380952380952384,0.5194805194805194
0.27380952380952384,0.5324675324675324
0.2761904761904762,0.5324675324675324
0.2761904761904762,0.5454545454545454
0.2785714285714286,0.5454545454545454
0.3119047619047619,0.5454545454545454
0.3142857142857143,0.5454545454545454
0.3142857142857143,0.5584415584415584
0.32142857142857145,0.5584415584415584
0.32142857142857145,0.5714285714285714
0.33095238095238094,0.5714285714285714
0.33095238095238094,0.5974025974025974
0.3333333333333333,0.5974025974025974
0.3333333333333333,0.6103896103896104
0.34523809523809523,0.6103896103896104
0.34523809523809523,0.6363636363636364
0.35714285714285715,0.6363636363636364
0.35714285714285715,0.6493506493506493
0.3595238095238095,0.6493506493506493
0.3595238095238095,0.6623376623376623
0.37142857142857144,0.6623376623376623
0.37142857142857144,0.6883116883116883
0.4023809523809524,0.6883116883116883
0.4023809523809524,0.7012987012987013
0.41904761904761906,0.7012987012987013
0.41904761904761906,0.7272727272727273
0.430952380952381,0.7272727272727273
0.430952380952381,0.7402597402597403
0.49047619047619045,0.7402597402597403
0.49047619047619045,0.7532467532467533
0.5261904761904762,0.7532467532467533
0.5261904761904762,0.7792207792207793
0.530952380952381,0.7792207792207793
0.530952380952381,0.7922077922077922
0.5761904761904761,0.7922077922077922
0.5761904761904761,0.8051948051948052
0.6,0.8051948051948052
0.6,0.8181818181818182
0.6166666666666667,0.8181818181818182
0.6166666666666667,0.8311688311688312
0.6309523809523809,0.8311688311688312
0.6309523809523809,0.8441558441558441
0.6571428571428571,0.8441558441558441
0.6571428571428571,0.8571428571428571
0.6595238095238095,0.8571428571428571
0.6595238095238095,0.8701298701298701
0.7357142857142858,0.8701298701298701
0.7357142857142858,0.8831168831168831
0.7476190476190476,0.8831168831168831
0.7476190476190476,0.8961038961038961
0.7523809523809524,0.8961038961038961
0.7523809523809524,0.9090909090909091
0.7571428571428571,0.9090909090909091
0.7571428571428571,0.922077922077922
0.7738095238095238,0.922077922077922
0.7738095238095238,0.935064935064935
0.7857142857142857,0.935064935064935
0.7857142857142857,0.948051948051948
0.8023809523809524,0.948051948051948
0.8023809523809524,0.961038961038961
0.9095238095238095,0.961038961038961
0.9095238095238095,0.974025974025974
0.9285714285714286,0.974025974025974
0.9285714285714286,1.0
1.0,1.0
