max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,n_estimators
3,0.12454590218338843,0.7637419108685606,0.96974718593118,14,0.004928441747991711,0.4955036505349382,0.6226910511691739,109
5,0.10629938073258476,0.5706916778024895,0.9193424208533779,5,0.0029665379572748254,0.013770642232027385,0.9293441750929662,2
6,0.07397562686552168,0.9096124227081921,0.731979330963929,11,0.9689675052460373,0.01723695187011761,0.7505821464118491,178
4,0.16736071466110147,0.8445865329915931,0.40154404442155545,4,0.010099140713529083,0.4147327393829596,0.2780755580905704,84
4,0.2904874089630727,0.6975726740515302,0.5845235575594397,5,0.09464552834208978,0.0017041222955486068,0.28970004072785505,31
