dim,beta,abs_beta
8,2.4036268226395747,2.4036268226395747
61,2.1708916033939922,2.1708916033939922
124,1.98884220085701,1.98884220085701
186,-1.727169155405841,1.727169155405841
2,1.707899640701623,1.707899640701623
209,-1.6861691819244864,1.6861691819244864
202,1.5972629068518427,1.5972629068518427
87,-1.4230238517032319,1.4230238517032319
173,1.3701336035720524,1.3701336035720524
28,-1.3603031118773934,1.3603031118773934
134,1.3194048779920944,1.3194048779920944
142,-1.3078017457099953,1.3078017457099953
238,-1.307219540297717,1.307219540297717
5,-1.2722350837726633,1.2722350837726633
225,1.1780036726544982,1.1780036726544982
136,-1.140536684382103,1.140536684382103
71,1.1166181974724854,1.1166181974724854
241,-1.1127238388248377,1.1127238388248377
163,-1.095752151559557,1.095752151559557
254,1.0881792946224373,1.0881792946224373
237,0.973375921973649,0.973375921973649
194,-0.963149896705965,0.963149896705965
149,0.9591188749813079,0.9591188749813079
42,-0.9392446047886444,0.9392446047886444
50,0.9208011201373248,0.9208011201373248
14,-0.9207544342260666,0.9207544342260666
55,-0.9125963697802904,0.9125963697802904
86,0.9109693844129039,0.9109693844129039
233,0.8820476905664444,0.8820476905664444
16,0.8684026991359675,0.8684026991359675
138,0.8611275047971666,0.8611275047971666
10,-0.8319737769860124,0.8319737769860124
22,0.7972813497629321,0.7972813497629321
174,0.7945901427059102,0.7945901427059102
185,-0.7898013660008686,0.7898013660008686
169,-0.7867280250698528,0.7867280250698528
152,0.752807441220635,0.752807441220635
167,-0.7091655293072623,0.7091655293072623
73,-0.7067925607662439,0.7067925607662439
95,-0.6860653669751839,0.6860653669751839
211,-0.684227490784936,0.684227490784936
94,0.675608987565415,0.675608987565415
126,-0.6645812498206053,0.6645812498206053
96,-0.6556383218739961,0.6556383218739961
181,0.6545078122984265,0.6545078122984265
161,0.6528570400133958,0.6528570400133958
195,-0.6341213621192088,0.6341213621192088
125,-0.6290673751567952,0.6290673751567952
23,0.6245939895839492,0.6245939895839492
235,0.6160541656960186,0.6160541656960186
13,-0.6143824676981177,0.6143824676981177
29,0.6121768882100546,0.6121768882100546
59,-0.607413466108115,0.607413466108115
210,0.5988837713897716,0.5988837713897716
207,-0.5926232056254446,0.5926232056254446
208,-0.5887820690399179,0.5887820690399179
248,-0.5857799867390465,0.5857799867390465
187,0.5811737625510969,0.5811737625510969
192,-0.5700414521204166,0.5700414521204166
56,0.5627833138198272,0.5627833138198272
127,-0.5604252711255179,0.5604252711255179
218,-0.5567277216813487,0.5567277216813487
229,-0.5393230268867828,0.5393230268867828
148,0.5374087546445061,0.5374087546445061
106,0.5323387806792824,0.5323387806792824
175,-0.5296907956464185,0.5296907956464185
