max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,random_state,verbosity,n_jobs,n_estimators,fold
7,0.20472233150167912,0.6940222201329037,0.8186511698549608,20,2.1992404228847566,0.12829176679078838,0.05615435941524738,42,0,-1,28,1
4,0.049022926926190515,0.7787579199792474,0.9979502919171251,16,5.400060625732355,0.1052751749936543,0.5106998980648555,42,0,-1,158,2
3,0.18271792571758821,0.6037483742784482,0.8963063040590673,18,0.0015330366719919584,3.878109085021948,0.654942573773933,42,0,-1,56,3
