fpr,tpr
0.0,0.0
0.0,0.002012072434607646
0.0,0.004024144869215292
0.003205128205128205,0.004024144869215292
0.003205128205128205,0.04024144869215292
0.00641025641025641,0.04024144869215292
0.00641025641025641,0.04627766599597585
0.009615384615384616,0.04627766599597585
0.009615384615384616,0.052313883299798795
0.016025641025641024,0.052313883299798795
0.016025641025641024,0.05835010060362173
0.019230769230769232,0.05835010060362173
0.019230769230769232,0.08651911468812877
0.022435897435897436,0.08651911468812877
0.022435897435897436,0.09054325955734406
0.02564102564102564,0.09054325955734406
0.02564102564102564,0.096579476861167
0.028846153846153848,0.096579476861167
0.028846153846153848,0.09859154929577464
0.035256410256410256,0.09859154929577464
0.035256410256410256,0.10663983903420524
0.038461538461538464,0.10663983903420524
0.038461538461538464,0.10865191146881288
0.04487179487179487,0.10865191146881288
0.04487179487179487,0.11468812877263582
0.05128205128205128,0.11468812877263582
0.05128205128205128,0.12877263581488935
0.057692307692307696,0.12877263581488935
0.057692307692307696,0.14084507042253522
0.0641025641025641,0.14084507042253522
0.0641025641025641,0.1448692152917505
0.0673076923076923,0.1448692152917505
0.0673076923076923,0.14688128772635814
0.07051282051282051,0.14688128772635814
0.07051282051282051,0.1488933601609658
0.08333333333333333,0.1488933601609658
0.08333333333333333,0.1529175050301811
0.08653846153846154,0.1529175050301811
0.08653846153846154,0.15694164989939638
0.08974358974358974,0.158953722334004
0.09294871794871795,0.158953722334004
0.09294871794871795,0.16297786720321933
0.09615384615384616,0.16297786720321933
0.09615384615384616,0.1750503018108652
0.09935897435897435,0.1750503018108652
0.09935897435897435,0.18108651911468812
0.10256410256410256,0.18309859154929578
0.10256410256410256,0.19114688128772636
0.10576923076923077,0.19114688128772636
0.10576923076923077,0.193158953722334
0.10576923076923077,0.19718309859154928
0.10576923076923077,0.2012072434607646
0.10897435897435898,0.2012072434607646
0.10897435897435898,0.2052313883299799
0.11217948717948718,0.2052313883299799
0.11217948717948718,0.2112676056338028
0.11538461538461539,0.2112676056338028
0.11538461538461539,0.21730382293762576
0.11538461538461539,0.22132796780684105
0.11538461538461539,0.22736418511066397
0.11858974358974358,0.22736418511066397
0.11858974358974358,0.23138832997987926
0.125,0.23138832997987926
0.125,0.2414486921529175
0.13141025641025642,0.2414486921529175
0.13141025641025642,0.2454728370221328
