fold,roc_auc,pr_auc
1,0.6719565217391305,0.5007872808758755
2,0.6621739130434783,0.5293957719658192
3,0.6553333333333333,0.5125676620296618
4,0.6553333333333333,0.4324493254040744
5,0.6944444444444445,0.5156006498893823
OOF_mean,0.6699383259911894,0.4891437696825983
