fold,roc_auc,pr_auc
1,0.6130434782608697,0.4632945085210173
2,0.6284782608695653,0.4423645898734011
3,0.5926666666666668,0.43023775601578085
4,0.5857777777777778,0.43713210027396987
5,0.6931111111111111,0.4952645004058799
OOF_mean,0.625295154185022,0.44384539632213527
